"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"C_0805";2;"10uF";;;
2;"R1";"R_0805";1;"0.01";;;
3;"R2";"R_0603";1;"R";;;
4;"T1,T2,T3,T4";"CPAD";4;"TEST_1P";;;
5;"U1";"DFN-8-1EP_3x3mm_Pitch0.65mm";1;"FPF2701MPX";;;
