"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C3";"c_elec_6.3x5.8";2;"10uF";;;
2;"C2";"C_0603";1;"0.1uF";;;
3;"L1";"C_1210";1;"470uH";;;
4;"U1";"QFN-16-1EP_3x3mm_Pitch0.5mm";1;"TS30011-M050QFNR";;;
5;"T1,T2,T3";"CPAD";3;"TEST_1P";;;
